doc_id,dominant_topic,dominant_layer
doc001,4,technology
doc002,8,operational
doc003,8,operational
doc004,8,institutional
doc005,8,operational
doc006,5,institutional
doc007,6,institutional
doc008,5,institutional
doc009,0,institutional
doc010,2,operational
doc011,10,institutional
doc012,0,institutional
doc013,2,operational
doc014,8,operational
doc015,10,operational
doc016,5,institutional
doc017,0,institutional
doc018,8,institutional
doc019,2,operational
doc020,8,operational
doc021,6,institutional
doc022,2,operational
doc023,7,institutional
doc024,2,operational
doc025,1,technology
doc026,10,operational
doc027,8,operational
doc028,2,operational
doc029,2,institutional
doc030,0,institutional
doc031,10,operational
doc032,0,institutional
doc033,0,institutional
doc034,0,institutional
doc035,11,technology
doc036,4,technology
doc037,6,institutional
doc038,10,operational
doc039,8,institutional
doc040,8,operational
doc041,4,technology
doc042,0,institutional
doc043,11,technology
doc044,11,technology
doc045,11,technology
doc046,0,institutional
doc047,5,institutional
doc048,8,institutional
doc049,8,operational
doc050,9,technology
doc051,8,operational
doc052,8,operational
doc053,1,technology
doc054,9,technology
doc055,5,institutional
doc056,0,institutional
doc057,6,institutional
doc058,7,institutional
doc059,8,operational
doc060,8,operational
doc061,3,institutional
doc062,5,institutional
doc063,1,technology
doc064,0,institutional
doc065,8,operational
doc066,0,operational
doc067,2,operational
doc068,10,operational
doc069,5,institutional
doc070,8,operational
doc071,8,technology
doc072,0,institutional
doc073,4,operational
doc074,5,institutional
doc075,0,institutional
doc076,8,institutional
doc077,0,institutional
doc078,8,operational
doc079,8,operational
doc080,2,operational
doc081,11,technology
doc082,0,institutional
doc083,8,operational
doc084,10,operational
doc085,8,operational
doc086,6,institutional
doc087,1,operational
doc088,8,operational
doc089,8,operational
doc090,8,operational
doc091,6,institutional
doc092,11,technology
doc093,8,operational
doc094,1,technology
doc095,8,operational
doc096,2,operational
doc097,4,institutional
doc098,11,technology
doc099,8,technology
doc100,10,operational
doc101,0,institutional
doc102,0,institutional
doc103,4,technology
doc104,5,institutional
doc105,8,operational
doc106,8,operational
doc107,8,operational
doc108,5,institutional
doc109,7,institutional
doc110,11,technology
doc111,8,operational
doc112,8,operational
doc113,5,institutional
doc114,11,technology
doc115,0,institutional
doc116,0,institutional
doc117,0,institutional
doc118,8,institutional
doc119,8,operational
doc120,6,institutional
doc121,6,institutional
doc122,10,operational
doc123,8,operational
doc124,5,institutional
doc125,10,operational
