doc_id,dominant_topic,dominant_layer
doc001,3,technology
doc002,11,operational
doc003,11,operational
doc004,0,institutional
doc005,5,operational
doc006,3,institutional
doc007,0,institutional
doc008,3,technology
doc009,11,operational
doc010,6,operational
doc011,9,institutional
doc012,8,meta
doc013,9,institutional
doc014,2,operational
doc015,11,operational
doc016,9,institutional
doc017,1,institutional
doc018,3,technology
doc019,3,operational
doc020,9,institutional
doc021,2,operational
doc022,2,operational
doc023,8,meta
doc024,6,operational
doc025,0,institutional
doc026,3,technology
doc027,11,operational
doc028,6,operational
doc029,6,operational
doc030,1,institutional
doc031,9,institutional
doc032,3,technology
doc033,1,operational
doc034,1,institutional
doc035,10,institutional
doc036,10,institutional
doc037,0,institutional
doc038,3,technology
doc039,5,operational
doc040,5,operational
doc041,9,institutional
doc042,1,institutional
doc043,8,institutional
doc044,4,technology
doc045,4,technology
doc046,1,institutional
doc047,9,institutional
doc048,11,operational
doc049,7,operational
doc050,0,institutional
doc051,11,operational
doc052,9,operational
doc053,11,operational
doc054,9,institutional
doc055,0,institutional
doc056,1,institutional
doc057,8,meta
doc058,1,institutional
doc059,3,operational
doc060,5,operational
doc061,1,institutional
doc062,10,institutional
doc063,5,operational
doc064,7,operational
doc065,11,operational
doc066,11,operational
doc067,11,operational
doc068,2,operational
doc069,0,institutional
doc070,11,operational
doc071,11,operational
doc072,1,institutional
doc073,2,operational
doc074,0,institutional
doc075,0,institutional
doc076,5,operational
doc077,8,meta
doc078,11,operational
doc079,11,operational
doc080,3,technology
doc081,1,institutional
doc082,1,institutional
doc083,11,operational
doc084,3,technology
doc085,5,operational
doc086,6,operational
doc087,6,operational
doc088,5,operational
doc089,11,operational
doc090,11,operational
doc091,2,operational
doc092,4,technology
doc093,11,operational
doc094,11,operational
doc095,11,operational
doc096,6,operational
doc097,3,institutional
doc098,4,technology
doc099,0,institutional
doc100,9,institutional
doc101,1,institutional
doc102,0,institutional
doc103,8,institutional
doc104,9,institutional
doc105,11,operational
doc106,11,operational
doc107,11,operational
doc108,0,institutional
doc109,1,institutional
doc110,6,operational
doc111,11,operational
doc112,11,operational
doc113,10,institutional
doc114,4,technology
doc115,1,institutional
doc116,1,institutional
doc117,3,technology
doc118,11,institutional
doc119,11,operational
doc120,0,institutional
doc121,9,institutional
doc122,0,institutional
doc123,11,operational
doc124,3,institutional
doc125,10,institutional
