doc_id,dominant_topic,dominant_layer
doc001,5,technology
doc002,9,institutional
doc003,9,institutional
doc004,10,institutional
doc005,7,operational
doc006,7,technology
doc007,7,institutional
doc008,7,operational
doc009,11,institutional
doc010,5,technology
doc011,6,operational
doc012,8,institutional
doc013,5,technology
doc014,4,operational
doc015,2,technology
doc016,11,institutional
doc017,8,institutional
doc018,10,institutional
doc019,1,institutional
doc020,10,institutional
doc021,7,operational
doc022,10,institutional
doc023,10,institutional
doc024,0,operational
doc025,11,institutional
doc026,7,operational
doc027,4,operational
doc028,8,institutional
doc029,8,institutional
doc030,7,institutional
doc031,7,operational
doc032,8,institutional
doc033,0,operational
doc034,8,institutional
doc035,9,institutional
doc036,9,institutional
doc037,8,institutional
doc038,10,institutional
doc039,0,operational
doc040,4,operational
doc041,5,technology
doc042,7,operational
doc043,2,technology
doc044,2,technology
doc045,2,technology
doc046,3,meta
doc047,7,operational
doc048,10,institutional
doc049,10,institutional
doc050,3,meta
doc051,4,operational
doc052,6,operational
doc053,5,technology
doc054,7,operational
doc055,11,institutional
doc056,11,institutional
doc057,10,institutional
doc058,11,institutional
doc059,5,technology
doc060,4,operational
doc061,5,technology
doc062,1,institutional
doc063,5,technology
doc064,9,institutional
doc065,10,institutional
doc066,5,institutional
doc067,4,operational
doc068,2,technology
doc069,10,institutional
doc070,10,institutional
doc071,5,technology
doc072,11,institutional
doc073,5,institutional
doc074,8,institutional
doc075,10,institutional
doc076,7,operational
doc077,3,meta
doc078,4,operational
doc079,4,operational
doc080,5,technology
doc081,3,meta
doc082,7,institutional
doc083,4,operational
doc084,7,operational
doc085,5,technology
doc086,10,institutional
doc087,5,technology
doc088,5,technology
doc089,10,institutional
doc090,4,operational
doc091,7,operational
doc092,2,technology
doc093,4,operational
doc094,9,institutional
doc095,10,institutional
doc096,0,operational
doc097,7,operational
doc098,2,technology
doc099,10,institutional
doc100,7,operational
doc101,7,operational
doc102,10,institutional
doc103,3,meta
doc104,11,institutional
doc105,4,operational
doc106,10,institutional
doc107,10,institutional
doc108,10,institutional
doc109,11,institutional
doc110,5,institutional
doc111,10,institutional
doc112,10,institutional
doc113,7,institutional
doc114,2,technology
doc115,3,meta
doc116,8,institutional
doc117,7,operational
doc118,9,institutional
doc119,4,operational
doc120,8,institutional
doc121,8,institutional
doc122,10,institutional
doc123,4,operational
doc124,7,operational
doc125,7,operational
