run_id,axis,variant,k,seed,n_terms,n_common_vocab,cv,mean_js_to_matched_ref,mean_top10_overlap_with_ref,op_first,op_last,op_delta,op_monotone_decline,inst_first,inst_last,inst_delta,crossover_last_period,tech_delta,meta_delta,corr_with_thesis_table,max_abs_dev_pp,operational|2007-2014,operational|2015-2018,operational|2019-2022,operational|2023-2026,institutional|2007-2014,institutional|2015-2018,institutional|2019-2022,institutional|2023-2026,technology|2007-2014,technology|2015-2018,technology|2019-2022,technology|2023-2026,meta|2007-2014,meta|2015-2018,meta|2019-2022,meta|2023-2026
A_k12_s1,A_seeds,reference_prepro,12,1,5002,5002,0.35306860525138517,0.4994734103480975,0.37500000000000006,60.01636637908329,34.14272713570578,-25.873639243377504,True,31.669569446300255,43.38186750768121,11.712298061380952,True,6.31028716518737,7.851051285395746,0.9679352938938663,9.58687051659887,60.01636637908329,56.0241878720808,44.97491324929191,34.14272713570578,31.669569446300255,31.896678565699403,39.444621626599755,43.38186750768121,8.30284231821376,11.402451684643893,12.231643550629896,14.61312948340113,0.011224509156212054,0.676684291120182,3.3488232067449846,7.862275794551958
A_k12_s123,A_seeds,reference_prepro,12,123,5002,5002,0.4230903074035162,0.5030227228999138,0.35000000000000003,52.76122154227778,32.51292576472906,-20.24829577754872,True,26.103739511563617,40.8703018261311,14.76656231456748,True,5.481732722311488,0.0,0.9525360310875061,11.780514594112173,52.76122154227778,48.42984378699839,44.32568861952556,32.51292576472906,26.103739511563617,30.989643998200332,37.43015017383085,40.8703018261311,21.13504147370501,20.580514594112174,18.24416512395449,26.616774196016497,0.0,0.0,0.0,0.0
A_k12_s13,A_seeds,reference_prepro,12,13,5002,5002,0.40534056503463645,0.48884396255016327,0.41666666666666674,65.13405853947916,31.96639835764093,-33.16766018183823,True,25.99290290963836,43.403707308342135,17.410804398703775,True,12.094268731978751,3.662590420166604,0.9679252681437688,8.740819946708829,65.13405853947916,59.822953055190744,41.73696742739089,31.96639835764093,25.99290290963836,24.427102397876297,39.04081994670883,43.403707308342135,7.484283000303549,11.090993522138888,13.160694971488232,19.5785517322823,1.3887521013505952,4.658952340741962,6.061520988304336,5.051342521517199
A_k12_s2,A_seeds,reference_prepro,12,2,5002,5002,0.3804391816390109,0.5085644374291102,0.30833333333333335,47.37395128589317,23.452939365260285,-23.921011920632886,False,32.79066580228876,51.3377643826478,18.54709858035904,True,5.373916530201463,0.0,0.9126289705465737,15.637764382647795,47.37395128589317,54.82954487270035,38.810677913999015,23.452939365260285,32.79066580228876,27.81515878845312,36.95963407908695,51.3377643826478,19.83537995850687,17.35529449340902,24.229689984349534,25.209296488708333,0.0,0.0,0.0,0.0
A_k12_s2024,A_seeds,reference_prepro,12,2024,5002,5002,0.37107604734197436,0.5220664391915003,0.3083333333333333,56.040995341087786,34.64617822100233,-21.394817120085456,False,20.44173692853898,48.03514296237002,27.593406033831037,True,-6.19859276872603,0.0,0.9132327402362793,14.871361194409353,56.040995341087786,62.36477118092807,39.33722247342909,34.64617822100233,20.44173692853898,18.243623053494957,28.99141609306551,48.03514296237002,23.51727194381965,19.391606812168902,31.671361194409354,17.31867917509362,0.0,0.0,0.0,0.0
A_k12_s21,A_seeds,reference_prepro,12,21,5002,5002,0.39083499587951875,0.5151199375589689,0.3499999999999999,33.17658934744638,23.183878543742743,-9.992710803703638,False,43.12645065698841,40.11340292552934,-3.013047731459068,True,2.346873542599795,10.658886546226162,0.704945212716891,25.723410652553618,33.17658934744638,36.973604057075136,26.938310725535203,23.183878543742743,43.12645065698841,42.14764775664662,50.69358244893212,40.11340292552934,22.264139560259842,19.163021572348953,19.02238036022431,24.611013102859637,1.4328197873207196,1.715727655464434,3.3457283301524714,12.091706333546881
A_k12_s3,A_seeds,reference_prepro,12,3,5002,5002,0.3536452998964122,0.5198880955576897,0.34166666666666673,42.74883931490574,31.251661128699954,-11.497178186205783,False,47.09479595221637,47.608146491139294,0.5133505389229214,True,8.636772857721553,2.347059527191201,0.8412069184953195,21.794795952216372,42.74883931490574,48.63287078756912,33.74993301575564,31.251661128699954,47.09479595221637,39.402602521295194,45.1824834017235,47.608146491139294,8.773302727058763,7.2730091668745445,12.573175148564689,17.410075584780316,1.383060980697337,4.691517346273031,8.494407983792675,3.730120507888538
A_k12_s42,A_seeds,reference_prepro,12,42,5002,5002,0.40103166775714866,0.0,1.0,58.881324232728126,32.193307042704575,-26.68801719002355,True,25.33816869745351,35.71450391089759,10.37633521344408,True,8.722431345643143,7.58925061015816,0.9999991626350632,0.04070490933889914,58.881324232728126,57.87215310296233,49.03091723121179,32.193307042704575,25.33816869745351,30.62420249061688,30.31635907101089,35.71450391089759,15.505247408752135,8.796027778425923,16.7592950906611,24.227678754395278,0.27526021252318367,2.7076194641631446,3.893430863859572,7.864510822681344
A_k12_s7,A_seeds,reference_prepro,12,7,5002,5002,0.42953886052510953,0.4790545826156934,0.3666666666666667,58.49993913701231,34.35603216913705,-24.14390696787526,True,28.353476502343256,29.010045074752117,0.6565685724088617,False,18.818531235513092,4.668805791531364,0.967766959529195,10.409339626948672,58.49993913701231,49.85177233043942,38.59066037305133,34.35603216913705,28.353476502343256,29.226162711820507,32.804826627899374,29.010045074752117,8.776989210552227,14.43347707414432,17.132200320718564,27.59552044606532,4.369597739302359,6.488586667182972,11.472315607057276,9.038403530833722
A_k12_s99,A_seeds,reference_prepro,12,99,5002,5002,0.3857447939726521,0.5146407013138136,0.3166666666666667,46.381934974609365,23.4078076269005,-22.974127347708865,False,32.46276474437764,50.41651259217588,17.95374784779824,True,5.020379158630327,0.0,0.8566613767270326,17.955007211495996,46.381934974609365,48.021820989215485,31.044992788504004,23.4078076269005,32.46276474437764,30.78485908536095,43.00177439956719,50.41651259217588,21.155305235940126,21.193319467456604,25.953235206705155,26.175684394570453,0.0,0.0,0.0,0.0
