run_id,variant_topic,matched_ref_topic,layer,js_distance,top10_overlap_with_ref,variant_top10,ref_top10
B_k14_s7,0,5,technology,0.49428534507751465,0.4,"blockchain, resilience, node, block, chain, maturity_model, protocol, event, driver, disruption","blockchain, blockchain_technology, block, tradelen, smart_contract, layer, node, chain, bill_lading, trust"
B_k14_s7,1,5,technology,0.5471349954605103,0.3,"blockchain, blockchain_technology, digital_technology, smart_contract, maritime_industry, iot, cluster, sensor, digitalization, smart_port","blockchain, blockchain_technology, block, tradelen, smart_contract, layer, node, chain, bill_lading, trust"
B_k14_s7,2,3,institutional,0.45340633392333984,0.3,"governance, region, edi, success, cluster, participant, political, successful, variable, logistic_community","barrier, terminal_operator, ict, edi, success, power, maturity_model, shipping_line, participant, knowledge_management"
B_k14_s7,3,6,operational,0.6612268090248108,0.2,"nmsw, nsw, montenegro, maritime_transport, trade_facilitation, national_single_window, criterion, window, national_maritime_single, assume","module, nmsw, ict, imo, nsw, traffic, prototype, pass, reporting, enter"
B_k14_s7,4,6,operational,0.5366509556770325,0.4,"module, port_rijeka, mnsw, croatia, enter, pass, ict, croatian, rijeka, saving","module, nmsw, ict, imo, nsw, traffic, prototype, pass, reporting, enter"
B_k14_s7,5,2,technology,0.36707934737205505,0.2,"optimization, gate, event, truck, scheduling, prediction, hour, crane, constraint, congestion","indonesia, optimization, service_quality, resilience, variable, event, hub, strategic_alliance, average, disruption"
B_k14_s7,6,8,operational,0.474749356508255,0.4,"msw, pcs, declaration, import, send, submit, custom_declaration, export, ship_agent, format","pcs, export, shipment, import, send, italy, logistic_chain, freight_forwarder, import_export, layer"
B_k14_s7,7,1,technology,0.451174259185791,0.5,"safety, attack, event, ais, big_data, navigation, cybersecurity, compliance, marine, maritime_transport","event, attack, safety, compliance, cybersecurity, digital_technology, threat, vulnerability, digital_infrastructure, detection"
B_k14_s7,8,4,meta,0.4514141082763672,0.6,"taxonomy, business_model, dimension, cluster, hub, trend, publication, search, topic, academic","publication, cluster, trend, academic, big_data, gate, theme, wave, search, topic"
B_k14_s7,9,0,operational,0.47772952914237976,0.2,"dimension, digital_transformation, barrier, indonesia, port_call, service_quality, measurement, ecosystem, variable, construct","port_call, information_sharing, barrier, maritime_transport, berth, arrival, manager, china, digitalization, coordinate"
B_k14_s7,10,9,institutional,0.5892980098724365,0.2,"smart_technology, network_effect, smart, optimal, utility, direct_benefit, proposition, price, region, negative","smart_port, indicator, smart_technology, smart, resilience, kpi, evaluation, index, weight, expert"
B_k14_s7,11,10,institutional,0.4666730463504791,0.4,"smart_port, sustainability, energy, sustainable, smart, port_bar, transition, emission, green, facility","governance, sustainability, digital_transformation, dimension, ecosystem, energy, sustainable, regional, smart_port, region"
B_k14_s7,12,8,operational,0.4880635738372803,0.3,"governance, ict, layer, pcs, public_private, vehicle, logistic_chain, road, private, power","pcs, export, shipment, import, send, italy, logistic_chain, freight_forwarder, import_export, layer"
B_k14_s7,13,9,institutional,0.4605899751186371,0.5,"indicator, kpi, evaluation, prototype, index, average, smart_port, time_window, dashboard, calculate","smart_port, indicator, smart_technology, smart, resilience, kpi, evaluation, index, weight, expert"
