run_id,variant_topic,matched_ref_topic,layer,js_distance,top10_overlap_with_ref,variant_top10,ref_top10
B_k14_s21,0,0,operational,0.4804908037185669,0.3,"governance, barrier, information_sharing, ecosystem, digital_infrastructure, knowledge_management, public_private, port_call, outcome, data_quality","port_call, information_sharing, barrier, maritime_transport, berth, arrival, manager, china, digitalization, coordinate"
B_k14_s21,1,10,institutional,0.5375476479530334,0.1,"dlt, trade_facilitation, smart_port, service_quality, participant, layer, ahp, key_factor, core, weight","governance, sustainability, digital_transformation, dimension, ecosystem, energy, sustainable, regional, smart_port, region"
B_k14_s21,2,10,institutional,0.48776811361312866,0.4,"sustainability, energy, nmsw, port_bar, sustainable, montenegro, transition, regional, emission, digitalization","governance, sustainability, digital_transformation, dimension, ecosystem, energy, sustainable, regional, smart_port, region"
B_k14_s21,3,9,institutional,0.5048993825912476,0.3,"smart_port, dimension, business_model, indicator, taxonomy, service_quality, score, evaluation, variable, maturity_model","smart_port, indicator, smart_technology, smart, resilience, kpi, evaluation, index, weight, expert"
B_k14_s21,4,7,operational,0.6075232028961182,0.3,"msw, indonesia, nsw, maritime_single_window, submit, digital_technology, agency, custom_authority, variable, strategic_alliance","msw, port_bar, montenegro, trade_facilitation, agency, average, administration, submit, india, format"
B_k14_s21,5,6,operational,0.5460858941078186,0.2,"module, port_rijeka, mnsw, croatian, rijeka, cimis, saving, croatia, concessionaire, enter","module, nmsw, ict, imo, nsw, traffic, prototype, pass, reporting, enter"
B_k14_s21,6,8,operational,0.46242883801460266,0.2,"pcs, shipment, container_terminal, traffic, production, power, produce, code, big_data, smart","pcs, export, shipment, import, send, italy, logistic_chain, freight_forwarder, import_export, layer"
B_k14_s21,7,2,technology,0.46335822343826294,0.5,"resilience, port_call, berth, event, imo, optimization, arrival, departure, hub, disruption","indonesia, optimization, service_quality, resilience, variable, event, hub, strategic_alliance, average, disruption"
B_k14_s21,8,5,technology,0.6185792684555054,0.1,"gate, vehicle, prototype, layer, ict, pass, truck, terminal_operator, sensor, event","blockchain, blockchain_technology, block, tradelen, smart_contract, layer, node, chain, bill_lading, trust"
B_k14_s21,9,4,meta,0.37658122181892395,0.5,"trend, publication, cluster, cybersecurity, attack, academic, digital_transformation, ais, attention, search","publication, cluster, trend, academic, big_data, gate, theme, wave, search, topic"
B_k14_s21,10,8,operational,0.46922770142555237,0.3,"export, smart_technology, kpi, import, scenario, pcs, average, smart, module, time_window","pcs, export, shipment, import, send, italy, logistic_chain, freight_forwarder, import_export, layer"
B_k14_s21,11,10,institutional,0.5585764646530151,0.1,"governance, ict, private, cluster, taxonomy, maritime_transport, subject, topic, trade_facilitation, political","governance, sustainability, digital_transformation, dimension, ecosystem, energy, sustainable, regional, smart_port, region"
B_k14_s21,12,10,institutional,0.5395410060882568,0.1,"safety_security, pcs, success, digital_transformation, domain, port_rotterdam, portbase, competition, culture, right","governance, sustainability, digital_transformation, dimension, ecosystem, energy, sustainable, regional, smart_port, region"
B_k14_s21,13,5,technology,0.3532333970069885,0.8,"blockchain, blockchain_technology, block, smart_contract, tradelen, bill_lading, contract, chain, freight_forwarder, node","blockchain, blockchain_technology, block, tradelen, smart_contract, layer, node, chain, bill_lading, trust"
