run_id,variant_topic,matched_ref_topic,layer,js_distance,top10_overlap_with_ref,variant_top10,ref_top10
B_k14_s13,0,8,operational,0.540798544883728,0.2,"msw, ict, prototype, pcs, module, edi, pass, container_terminal, layer, store","pcs, export, shipment, import, send, italy, logistic_chain, freight_forwarder, import_export, layer"
B_k14_s13,1,4,meta,0.5486428737640381,0.7,"cluster, publication, big_data, theme, search, topic, wave, maritime_transport, maritime_logistic, publish","publication, cluster, trend, academic, big_data, gate, theme, wave, search, topic"
B_k14_s13,2,0,operational,0.49732187390327454,0.4,"port_call, information_sharing, berth, india, smart_port, barrier, outcome, energy, generation, intelligent","port_call, information_sharing, barrier, maritime_transport, berth, arrival, manager, china, digitalization, coordinate"
B_k14_s13,3,4,meta,0.6006199717521667,0.2,"trend, custom_authority, digital_technology, attention, regulatory, academic, compliance, cross_border, identification, reflect","publication, cluster, trend, academic, big_data, gate, theme, wave, search, topic"
B_k14_s13,4,1,technology,0.5057958364486694,0.3,"event, berth, optimization, attack, safety, port_call, imo, ais, navigation, scheduling","event, attack, safety, compliance, cybersecurity, digital_technology, threat, vulnerability, digital_infrastructure, detection"
B_k14_s13,5,10,institutional,0.5530341267585754,0.0,"resilience, barrier, expert, hub, knowledge_management, validate, disruption, driver, employ, relevance","governance, sustainability, digital_transformation, dimension, ecosystem, energy, sustainable, regional, smart_port, region"
B_k14_s13,6,10,institutional,0.4339907169342041,0.6,"sustainability, digital_transformation, energy, sustainable, dimension, indonesia, port_bar, digitalization, maturity, regional","governance, sustainability, digital_transformation, dimension, ecosystem, energy, sustainable, regional, smart_port, region"
B_k14_s13,7,5,technology,0.43540558218955994,0.8,"blockchain, blockchain_technology, node, block, chain, pcs, smart_contract, layer, trust, freight_forwarder","blockchain, blockchain_technology, block, tradelen, smart_contract, layer, node, chain, bill_lading, trust"
B_k14_s13,8,10,institutional,0.5137456655502319,0.2,"governance, power, private, public_private, political, ict, participant, region, cluster, trade_facilitation","governance, sustainability, digital_transformation, dimension, ecosystem, energy, sustainable, regional, smart_port, region"
B_k14_s13,9,9,institutional,0.47642990946769714,0.5,"smart_port, service_quality, variable, indicator, index, evaluation, construct, weight, score, construction","smart_port, indicator, smart_technology, smart, resilience, kpi, evaluation, index, weight, expert"
B_k14_s13,10,9,institutional,0.510439932346344,0.4,"smart_technology, gate, truck, smart, kpi, indicator, scheduling, scenario, vehicle, average","smart_port, indicator, smart_technology, smart, resilience, kpi, evaluation, index, weight, expert"
B_k14_s13,11,8,operational,0.42578408122062683,0.4,"pcs, export, ship_agent, traffic, send, ict, forwarder, clearance, custom_declaration, freight_forwarder","pcs, export, shipment, import, send, italy, logistic_chain, freight_forwarder, import_export, layer"
B_k14_s13,12,11,technology,0.5489102602005005,0.4,"taxonomy, dimension, business_model, nmsw, nsw, montenegro, digital_platform, mnsw, submit, maritime_transport","taxonomy, business_model, dimension, cluster, digital_platform, respective, value_add, marketplace, geographic_scope, iteration"
B_k14_s13,13,6,operational,0.5909189581871033,0.1,"module, right, governance, tradelen, digital_infrastructure, declaration, netherlands, invoice, ecosystem, port_rijeka","module, nmsw, ict, imo, nsw, traffic, prototype, pass, reporting, enter"
