run_id,variant_topic,matched_ref_topic,layer,js_distance,top10_overlap_with_ref,variant_top10,ref_top10
B_k14_s42,0,0,operational,0.15182247757911682,0.8,"port_call, information_sharing, berth, maritime_transport, barrier, right, arrival, china, manager, safety_security","port_call, information_sharing, barrier, maritime_transport, berth, arrival, manager, china, digitalization, coordinate"
B_k14_s42,1,1,technology,0.15188045799732208,0.9,"event, attack, safety, cybersecurity, threat, detection, navigation, vulnerability, compliance, digital_infrastructure","event, attack, safety, compliance, cybersecurity, digital_technology, threat, vulnerability, digital_infrastructure, detection"
B_k14_s42,2,2,technology,0.3916305601596832,0.5,"service_quality, indonesia, variable, construct, optimization, strategic_alliance, dimension, measurement, hour, berth","indonesia, optimization, service_quality, resilience, variable, event, hub, strategic_alliance, average, disruption"
B_k14_s42,3,3,institutional,0.13264043629169464,0.9,"barrier, power, maturity_model, terminal_operator, success, edi, ict, shipping_line, knowledge_management, shipper","barrier, terminal_operator, ict, edi, success, power, maturity_model, shipping_line, participant, knowledge_management"
B_k14_s42,4,4,meta,0.1571086198091507,0.8,"publication, cluster, trend, academic, theme, wave, search, attention, publish, big_data","publication, cluster, trend, academic, big_data, gate, theme, wave, search, topic"
B_k14_s42,5,5,technology,0.16514141857624054,1.0,"blockchain, blockchain_technology, block, smart_contract, tradelen, chain, bill_lading, node, layer, trust","blockchain, blockchain_technology, block, tradelen, smart_contract, layer, node, chain, bill_lading, trust"
B_k14_s42,6,6,operational,0.31032899022102356,0.5,"module, ict, vehicle, imo, gate, traffic, port_rijeka, mnsw, enter, vts","module, nmsw, ict, imo, nsw, traffic, prototype, pass, reporting, enter"
B_k14_s42,7,7,operational,0.3224124014377594,0.4,"nmsw, port_bar, montenegro, emission, energy, average, india, turkey, hour, module","msw, port_bar, montenegro, trade_facilitation, agency, average, administration, submit, india, format"
B_k14_s42,8,8,operational,0.211550772190094,0.8,"pcs, export, import, send, shipment, italy, freight_forwarder, custom_declaration, day, import_export","pcs, export, shipment, import, send, italy, logistic_chain, freight_forwarder, import_export, layer"
B_k14_s42,9,9,institutional,0.14072273671627045,1.0,"smart_port, smart_technology, indicator, smart, kpi, resilience, evaluation, index, expert, weight","smart_port, indicator, smart_technology, smart, resilience, kpi, evaluation, index, weight, expert"
B_k14_s42,10,10,institutional,0.13151274621486664,0.9,"governance, sustainability, digital_transformation, ecosystem, sustainable, dimension, energy, regional, region, digitalization","governance, sustainability, digital_transformation, dimension, ecosystem, energy, sustainable, regional, smart_port, region"
B_k14_s42,11,11,technology,0.2101168930530548,0.9,"business_model, taxonomy, dimension, cluster, digital_platform, value_add, marketplace, respective, iteration, distinguish","taxonomy, business_model, dimension, cluster, digital_platform, respective, value_add, marketplace, geographic_scope, iteration"
B_k14_s42,12,2,technology,0.5492975115776062,0.4,"hub, resilience, layer, smart, node, optimization, employ, scenario, sensor, disruption","indonesia, optimization, service_quality, resilience, variable, event, hub, strategic_alliance, average, disruption"
B_k14_s42,13,6,operational,0.5772396922111511,0.1,"msw, maritime_single_window, agency, trade_facilitation, nsw, clearance, international_trade, custom_authority, national_single_window, maritime_transport","module, nmsw, ict, imo, nsw, traffic, prototype, pass, reporting, enter"
