topic,n_dominant,prevalence
0,11,0.09637443814882135
1,8,0.07869536443584366
2,5,0.04366305630201532
3,8,0.0903852790108067
4,4,0.04881243984092726
5,8,0.04481156870837731
6,17,0.10964565665347618
7,13,0.09284271580513451
8,20,0.15039217567468585
9,7,0.0645787582428893
10,22,0.1646419925224909
11,2,0.015156567449870637
