doc_id,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,authors,year,title
doc001,3.657312845462002e-05,0.0010328928474336863,0.9789574146270752,0.018825704231858253,3.6574383557308465e-05,3.657174238469452e-05,3.657303022919223e-05,3.65710657206364e-05,3.65751693607308e-05,3.657430352177471e-05,0.0008912145858630538,3.657222259789705e-05,Abril et al.,2024,An Integrated Event-Driven Real-Time Tactical-Operational Optimization Framework for Smart Port Oper
doc002,9.502530156169087e-05,0.11415861546993256,9.501686145085841e-05,0.09218722581863403,9.502057946519926e-05,9.501446038484573e-05,0.792799174785614,9.501538443146273e-05,9.502389002591372e-05,9.501841850578785e-05,9.502009197603911e-05,9.501637396169826e-05,Aksentijevic et al.,2022,TOE framework in risk management during implementation of the Croatian national Port Community Syste
doc003,0.0001573150948388502,0.2292274832725525,0.00015731387247797102,0.052047379314899445,0.00015731014718767256,0.0001573059125803411,0.6735717058181763,0.0001573064218973741,0.0438949279487133,0.00015731270832475275,0.0001573104818817228,0.00015733328473288566,Aksentijevič et al.,2023,Risk Management in Development of Croatian Maritime Cargo Single Window System
doc004,0.23801079392433167,7.396657019853592e-05,7.396832370432094e-05,0.2586415410041809,7.396208093268797e-05,7.396070577669889e-05,7.396334694931284e-05,0.09417597949504852,0.05674475431442261,7.396112778224051e-05,0.35190916061401367,7.395951251965016e-05,Alfaro et al.,2017,Public private partnership investment to execute policies of port community system in Central Americ
doc005,0.9794355034828186,5.994403181830421e-05,0.01996532455086708,5.994390448904596e-05,5.994737512082793e-05,5.9939735365333036e-05,5.994152161292732e-05,5.994399180053733e-05,5.994144157739356e-05,5.9942525695078075e-05,5.994768434902653e-05,5.994995808578096e-05,Mubder e Fredriksson,2025,Mechanisms supporting the continuance use of Port Community Systems A Swedish case-study
doc006,0.00010724487219704315,0.8506631851196289,0.0001072460290743038,0.00010724573803599924,0.0001072436134563759,0.00010724513413151726,0.00010724003368522972,0.00010724912135628983,0.13901256024837494,0.00010724445746745914,0.00010724420280894265,0.009358946233987808,Amankwah-Sarfo et al.,2019,Digital infrastructure for port container handling and success or failure of stakeholders’ goals A
doc007,0.03602411597967148,5.2319071983220056e-05,5.2317307563498616e-05,0.7745258808135986,5.231610339251347e-05,5.2316772780613974e-05,5.231752584222704e-05,0.07852683216333389,5.2316347137093544e-05,5.231503018876538e-05,0.11050473898649216,5.231562681728974e-05,Aryee e Hansen,2022,De-politicization of digital systems for trade facilitation at the port of tema A soft systems meth
doc008,0.08115017414093018,0.09620679914951324,0.539760410785675,0.03221163898706436,0.00012296561908442527,0.00012294012412894517,0.0001229404006153345,0.03945576399564743,0.03769711032509804,0.057534437626600266,0.11549188941717148,0.0001229457266163081,B. O. Bakari e A. P. Subriadi,2020,Information Systems Usage on Enhancing Port Performance Perceived Service Quality as a Mediating Rol
doc009,0.06392921507358551,0.11745103448629379,7.776367419864982e-05,7.776521670166403e-05,7.776907295919955e-05,7.77646346250549e-05,7.776590064167976e-05,0.46606722474098206,0.012350164353847504,0.09824543446302414,0.24149036407470703,7.776154961902648e-05,Balaji,2024,India's blue economy priorities maritime sector
doc010,7.704262679908425e-05,0.031945254653692245,7.7050608524587e-05,0.007847235538065434,0.03154272958636284,0.45136672258377075,0.15518347918987274,7.704411109443754e-05,0.14804285764694214,7.705028838245198e-05,0.17368660867214203,7.704882591497153e-05,Barasti et al.,2022,An ICT Prototyping Framework for the Port of the Future
