group,layer,2007-2014,2007-2014_mean,2007-2014_sd,2015-2018,2015-2018_mean,2015-2018_sd,2019-2022,2019-2022_mean,2019-2022_sd,2023-2026,2023-2026_mean,2023-2026_sd
"10 seeds, k=12",operational,52.1 ± 9.6,52.1,9.64,52.3 ± 7.4,52.28,7.43,38.9 ± 6.7,38.85,6.74,30.1 ± 4.8,30.11,4.8
"10 seeds, k=12",institutional,31.3 ± 8.2,31.34,8.23,30.6 ± 6.8,30.56,6.78,38.4 ± 6.7,38.39,6.73,43.0 ± 6.9,42.99,6.94
"10 seeds, k=12",technology,15.7 ± 6.7,15.67,6.66,15.1 ± 5.1,15.07,5.15,19.1 ± 6.4,19.1,6.38,22.3 ± 4.6,22.34,4.65
"10 seeds, k=12",meta,0.9 ± 1.4,0.89,1.38,2.1 ± 2.4,2.09,2.42,3.7 ± 4.0,3.66,4.0,4.6 ± 4.5,4.56,4.51
