doc_id,dominant_topic,dominant_layer
doc001,3,operational
doc002,3,operational
doc003,3,operational
doc004,7,institutional
doc005,9,operational
doc006,11,technology
doc007,7,institutional
doc008,8,institutional
doc009,10,meta
doc010,6,institutional
doc011,2,institutional
doc012,7,institutional
doc013,5,operational
doc014,9,operational
doc015,4,operational
doc016,2,institutional
doc017,7,institutional
doc018,3,operational
doc019,3,operational
doc020,2,operational
doc021,2,institutional
doc022,7,institutional
doc023,3,operational
doc024,0,operational
doc025,2,institutional
doc026,3,operational
doc027,4,operational
doc028,0,operational
doc029,3,operational
doc030,7,institutional
doc031,4,operational
doc032,2,institutional
doc033,10,institutional
doc034,10,institutional
doc035,6,institutional
doc036,3,operational
doc037,7,institutional
doc038,9,operational
doc039,7,institutional
doc040,4,operational
doc041,5,technology
doc042,3,institutional
doc043,9,operational
doc044,5,technology
doc045,5,technology
doc046,10,meta
doc047,8,institutional
doc048,7,operational
doc049,7,institutional
doc050,10,meta
doc051,4,operational
doc052,7,institutional
doc053,9,operational
doc054,9,operational
doc055,1,institutional
doc056,10,meta
doc057,10,meta
doc058,10,meta
doc059,7,operational
doc060,0,operational
doc061,6,institutional
doc062,8,institutional
doc063,10,meta
doc064,7,institutional
doc065,9,operational
doc066,7,institutional
doc067,4,operational
doc068,9,operational
doc069,7,institutional
doc070,9,operational
doc071,9,operational
doc072,7,institutional
doc073,3,operational
doc074,7,institutional
doc075,7,institutional
doc076,9,operational
doc077,7,institutional
doc078,4,operational
doc079,4,operational
doc080,3,operational
doc081,10,meta
doc082,10,institutional
doc083,4,operational
doc084,7,operational
doc085,10,meta
doc086,7,operational
doc087,6,institutional
doc088,9,operational
doc089,9,operational
doc090,4,operational
doc091,2,institutional
doc092,1,institutional
doc093,4,operational
doc094,7,institutional
doc095,4,operational
doc096,0,operational
doc097,3,institutional
doc098,5,technology
doc099,7,institutional
doc100,2,institutional
doc101,2,institutional
doc102,7,institutional
doc103,10,meta
doc104,2,institutional
doc105,4,operational
doc106,7,operational
doc107,4,operational
doc108,7,institutional
doc109,10,meta
doc110,3,operational
doc111,3,operational
doc112,7,operational
doc113,3,institutional
doc114,7,institutional
doc115,10,meta
doc116,2,institutional
doc117,8,institutional
doc118,7,institutional
doc119,4,operational
doc120,7,institutional
doc121,9,institutional
doc122,7,institutional
doc123,4,operational
doc124,7,institutional
doc125,3,operational
