doc_id,dominant_topic,dominant_layer
doc001,4,technology
doc002,10,operational
doc003,10,operational
doc004,11,operational
doc005,7,institutional
doc006,2,institutional
doc007,11,operational
doc008,2,institutional
doc009,7,institutional
doc010,0,institutional
doc011,3,institutional
doc012,3,institutional
doc013,8,technology
doc014,5,operational
doc015,11,operational
doc016,6,institutional
doc017,7,institutional
doc018,8,institutional
doc019,4,technology
doc020,0,institutional
doc021,11,operational
doc022,11,operational
doc023,3,institutional
doc024,8,technology
doc025,7,institutional
doc026,11,operational
doc027,10,operational
doc028,1,operational
doc029,1,operational
doc030,3,institutional
doc031,11,operational
doc032,6,institutional
doc033,8,technology
doc034,7,institutional
doc035,6,institutional
doc036,4,technology
doc037,6,institutional
doc038,10,operational
doc039,11,operational
doc040,9,operational
doc041,1,operational
doc042,3,institutional
doc043,11,operational
doc044,8,technology
doc045,8,technology
doc046,7,institutional
doc047,6,institutional
doc048,3,institutional
doc049,3,institutional
doc050,8,technology
doc051,10,operational
doc052,1,operational
doc053,5,technology
doc054,0,institutional
doc055,5,technology
doc056,7,institutional
doc057,5,technology
doc058,7,institutional
doc059,0,institutional
doc060,2,institutional
doc061,4,technology
doc062,5,technology
doc063,5,technology
doc064,6,institutional
doc065,10,operational
doc066,3,institutional
doc067,0,institutional
doc068,11,operational
doc069,11,operational
doc070,5,technology
doc071,2,technology
doc072,3,institutional
doc073,11,operational
doc074,2,institutional
doc075,6,institutional
doc076,7,institutional
doc077,8,institutional
doc078,10,operational
doc079,10,operational
doc080,4,technology
doc081,8,technology
doc082,7,institutional
doc083,10,operational
doc084,11,operational
doc085,5,technology
doc086,8,technology
doc087,0,institutional
doc088,9,operational
doc089,5,operational
doc090,9,operational
doc091,11,institutional
doc092,9,operational
doc093,9,operational
doc094,5,technology
doc095,11,operational
doc096,8,technology
doc097,8,technology
doc098,8,technology
doc099,11,operational
doc100,11,institutional
doc101,7,institutional
doc102,11,operational
doc103,7,institutional
doc104,6,institutional
doc105,10,operational
doc106,10,operational
doc107,11,operational
doc108,11,operational
doc109,3,institutional
doc110,4,technology
doc111,10,operational
doc112,10,operational
doc113,2,institutional
doc114,8,technology
doc115,3,institutional
doc116,7,institutional
doc117,2,institutional
doc118,7,institutional
doc119,10,operational
doc120,6,institutional
doc121,5,technology
doc122,11,operational
doc123,10,operational
doc124,0,institutional
doc125,5,technology
