doc_id,dominant_topic,dominant_layer
doc001,8,technology
doc002,9,operational
doc003,9,operational
doc004,3,institutional
doc005,1,operational
doc006,2,institutional
doc007,11,institutional
doc008,10,operational
doc009,2,institutional
doc010,9,operational
doc011,6,institutional
doc012,2,institutional
doc013,0,operational
doc014,0,operational
doc015,9,operational
doc016,6,institutional
doc017,11,institutional
doc018,10,operational
doc019,10,operational
doc020,11,operational
doc021,11,institutional
doc022,0,operational
doc023,9,operational
doc024,6,institutional
doc025,6,institutional
doc026,10,operational
doc027,0,operational
doc028,9,operational
doc029,6,institutional
doc030,11,institutional
doc031,11,institutional
doc032,4,institutional
doc033,2,institutional
doc034,4,institutional
doc035,9,operational
doc036,9,operational
doc037,3,institutional
doc038,0,operational
doc039,3,institutional
doc040,8,operational
doc041,0,operational
doc042,11,institutional
doc043,11,institutional
doc044,7,technology
doc045,7,technology
doc046,11,institutional
doc047,4,institutional
doc048,3,institutional
doc049,11,institutional
doc050,11,institutional
doc051,1,operational
doc052,0,operational
doc053,8,technology
doc054,3,institutional
doc055,10,operational
doc056,8,technology
doc057,6,institutional
doc058,1,operational
doc059,9,operational
doc060,5,operational
doc061,5,operational
doc062,2,institutional
doc063,9,operational
doc064,4,institutional
doc065,0,operational
doc066,2,operational
doc067,0,operational
doc068,10,operational
doc069,6,institutional
doc070,0,operational
doc071,8,technology
doc072,2,institutional
doc073,8,technology
doc074,3,institutional
doc075,11,institutional
doc076,1,operational
doc077,11,institutional
doc078,0,operational
doc079,0,operational
doc080,8,operational
doc081,11,institutional
doc082,4,institutional
doc083,0,operational
doc084,10,operational
doc085,8,technology
doc086,9,operational
doc087,0,operational
doc088,8,technology
doc089,9,operational
doc090,0,operational
doc091,11,institutional
doc092,7,technology
doc093,5,operational
doc094,9,operational
doc095,0,operational
doc096,6,institutional
doc097,11,institutional
doc098,7,technology
doc099,3,institutional
doc100,10,operational
doc101,11,institutional
doc102,2,institutional
doc103,9,operational
doc104,6,institutional
doc105,0,operational
doc106,1,operational
doc107,0,operational
doc108,3,institutional
doc109,1,operational
doc110,9,operational
doc111,0,operational
doc112,3,operational
doc113,9,operational
doc114,7,technology
doc115,2,institutional
doc116,4,institutional
doc117,11,institutional
doc118,4,institutional
doc119,0,operational
doc120,3,institutional
doc121,6,institutional
doc122,3,operational
doc123,0,operational
doc124,11,institutional
doc125,9,operational
