doc_id,dominant_topic,dominant_layer
doc001,2,technology
doc002,2,technology
doc003,2,technology
doc004,0,institutional
doc005,2,technology
doc006,5,operational
doc007,0,institutional
doc008,4,institutional
doc009,9,institutional
doc010,10,institutional
doc011,9,institutional
doc012,9,institutional
doc013,6,technology
doc014,0,institutional
doc015,1,operational
doc016,8,institutional
doc017,4,institutional
doc018,0,institutional
doc019,9,institutional
doc020,0,institutional
doc021,10,institutional
doc022,0,institutional
doc023,3,operational
doc024,2,technology
doc025,11,institutional
doc026,7,meta
doc027,0,institutional
doc028,6,technology
doc029,9,institutional
doc030,9,institutional
doc031,0,institutional
doc032,4,institutional
doc033,9,institutional
doc034,9,institutional
doc035,1,operational
doc036,2,technology
doc037,11,institutional
doc038,5,operational
doc039,6,institutional
doc040,2,technology
doc041,9,institutional
doc042,8,institutional
doc043,3,operational
doc044,6,technology
doc045,5,operational
doc046,7,meta
doc047,4,institutional
doc048,3,operational
doc049,0,institutional
doc050,7,institutional
doc051,1,operational
doc052,9,institutional
doc053,0,institutional
doc054,0,institutional
doc055,6,technology
doc056,9,institutional
doc057,10,institutional
doc058,9,institutional
doc059,6,technology
doc060,1,operational
doc061,9,institutional
doc062,8,institutional
doc063,6,technology
doc064,11,institutional
doc065,0,institutional
doc066,9,institutional
doc067,1,operational
doc068,5,operational
doc069,6,technology
doc070,0,institutional
doc071,2,technology
doc072,9,institutional
doc073,5,institutional
doc074,11,institutional
doc075,7,institutional
doc076,2,technology
doc077,7,meta
doc078,1,operational
doc079,1,operational
doc080,9,institutional
doc081,7,institutional
doc082,4,institutional
doc083,0,institutional
doc084,1,operational
doc085,2,technology
doc086,6,institutional
doc087,9,institutional
doc088,2,technology
doc089,1,institutional
doc090,0,institutional
doc091,10,institutional
doc092,6,technology
doc093,0,institutional
doc094,1,operational
doc095,0,institutional
doc096,2,technology
doc097,9,institutional
doc098,6,technology
doc099,0,institutional
doc100,0,institutional
doc101,7,institutional
doc102,9,institutional
doc103,9,institutional
doc104,8,institutional
doc105,3,operational
doc106,0,institutional
doc107,0,institutional
doc108,11,institutional
doc109,9,institutional
doc110,1,operational
doc111,3,operational
doc112,1,operational
doc113,9,institutional
doc114,6,institutional
doc115,8,institutional
doc116,4,institutional
doc117,4,institutional
doc118,11,institutional
doc119,1,operational
doc120,11,institutional
doc121,6,technology
doc122,0,institutional
doc123,0,operational
doc124,6,institutional
doc125,6,technology
