doc_id,dominant_topic,dominant_layer
doc001,2,technology
doc002,6,operational
doc003,6,operational
doc004,10,institutional
doc005,0,operational
doc006,1,technology
doc007,3,institutional
doc008,2,technology
doc009,7,operational
doc010,5,technology
doc011,12,technology
doc012,10,institutional
doc013,7,technology
doc014,13,operational
doc015,8,operational
doc016,11,technology
doc017,3,institutional
doc018,8,operational
doc019,12,operational
doc020,3,institutional
doc021,3,institutional
doc022,8,operational
doc023,8,operational
doc024,7,operational
doc025,10,institutional
doc026,8,operational
doc027,6,operational
doc028,12,technology
doc029,12,technology
doc030,10,institutional
doc031,0,operational
doc032,10,institutional
doc033,10,operational
doc034,10,institutional
doc035,9,institutional
doc036,9,institutional
doc037,10,institutional
doc038,0,operational
doc039,0,operational
doc040,6,operational
doc041,6,operational
doc042,9,institutional
doc043,8,operational
doc044,5,technology
doc045,5,technology
doc046,4,meta
doc047,0,operational
doc048,6,institutional
doc049,0,operational
doc050,0,operational
doc051,7,operational
doc052,12,operational
doc053,1,technology
doc054,7,operational
doc055,10,institutional
doc056,10,institutional
doc057,4,meta
doc058,7,operational
doc059,13,operational
doc060,13,operational
doc061,9,institutional
doc062,9,institutional
doc063,1,technology
doc064,0,operational
doc065,8,operational
doc066,12,operational
doc067,8,operational
doc068,8,operational
doc069,3,institutional
doc070,13,operational
doc071,1,technology
doc072,9,institutional
doc073,8,operational
doc074,2,institutional
doc075,4,institutional
doc076,0,operational
doc077,4,meta
doc078,13,operational
doc079,7,operational
doc080,12,technology
doc081,5,technology
doc082,10,institutional
doc083,13,operational
doc084,8,operational
doc085,1,technology
doc086,12,operational
doc087,12,technology
doc088,0,operational
doc089,8,operational
doc090,13,operational
doc091,3,institutional
doc092,0,operational
doc093,13,operational
doc094,1,technology
doc095,13,operational
doc096,7,operational
doc097,3,institutional
doc098,5,technology
doc099,13,operational
doc100,8,operational
doc101,0,institutional
doc102,10,institutional
doc103,4,technology
doc104,11,technology
doc105,6,operational
doc106,10,operational
doc107,13,operational
doc108,10,institutional
doc109,10,institutional
doc110,12,technology
doc111,6,operational
doc112,6,operational
doc113,9,institutional
doc114,3,technology
doc115,9,institutional
doc116,10,institutional
doc117,2,technology
doc118,10,institutional
doc119,8,operational
doc120,10,institutional
doc121,10,institutional
doc122,8,operational
doc123,7,operational
doc124,3,institutional
doc125,8,technology
