doc_id,dominant_topic,dominant_layer
doc001,5,technology
doc002,4,operational
doc003,4,operational
doc004,2,institutional
doc005,9,operational
doc006,6,operational
doc007,2,institutional
doc008,9,operational
doc009,7,institutional
doc010,12,operational
doc011,11,institutional
doc012,11,institutional
doc013,12,operational
doc014,6,operational
doc015,7,operational
doc016,8,meta
doc017,0,technology
doc018,9,operational
doc019,4,operational
doc020,12,operational
doc021,2,institutional
doc022,12,operational
doc023,6,operational
doc024,6,operational
doc025,11,institutional
doc026,6,operational
doc027,6,operational
doc028,12,operational
doc029,12,operational
doc030,11,institutional
doc031,7,operational
doc032,9,operational
doc033,7,technology
doc034,9,operational
doc035,0,technology
doc036,13,institutional
doc037,2,institutional
doc038,7,technology
doc039,6,operational
doc040,6,operational
doc041,12,operational
doc042,11,institutional
doc043,6,operational
doc044,0,technology
doc045,1,technology
doc046,8,meta
doc047,9,operational
doc048,11,operational
doc049,1,operational
doc050,1,technology
doc051,3,operational
doc052,12,operational
doc053,7,technology
doc054,6,operational
doc055,12,operational
doc056,11,institutional
doc057,12,operational
doc058,11,institutional
doc059,12,operational
doc060,12,operational
doc061,10,institutional
doc062,13,institutional
doc063,7,technology
doc064,3,operational
doc065,6,operational
doc066,11,operational
doc067,13,operational
doc068,6,operational
doc069,12,operational
doc070,6,operational
doc071,6,technology
doc072,11,institutional
doc073,2,technology
doc074,2,institutional
doc075,8,meta
doc076,9,operational
doc077,8,operational
doc078,12,operational
doc079,3,operational
doc080,5,operational
doc081,1,technology
doc082,9,operational
doc083,6,operational
doc084,12,operational
doc085,7,technology
doc086,12,operational
doc087,12,operational
doc088,6,operational
doc089,12,operational
doc090,6,operational
doc091,2,institutional
doc092,6,operational
doc093,6,operational
doc094,7,institutional
doc095,6,operational
doc096,6,operational
doc097,5,operational
doc098,1,technology
doc099,2,institutional
doc100,9,operational
doc101,8,meta
doc102,2,institutional
doc103,8,meta
doc104,8,meta
doc105,4,operational
doc106,11,operational
doc107,6,operational
doc108,12,operational
doc109,11,institutional
doc110,8,technology
doc111,4,operational
doc112,4,operational
doc113,13,institutional
doc114,12,operational
doc115,11,institutional
doc116,9,operational
doc117,9,operational
doc118,9,operational
doc119,6,operational
doc120,2,institutional
doc121,12,operational
doc122,2,operational
doc123,6,operational
doc124,9,operational
doc125,13,operational
