doc_id,dominant_topic,dominant_layer
doc001,2,technology
doc002,6,operational
doc003,6,operational
doc004,0,operational
doc005,0,operational
doc006,1,technology
doc007,3,institutional
doc008,2,technology
doc009,7,operational
doc010,5,technology
doc011,7,operational
doc012,1,institutional
doc013,7,operational
doc014,7,operational
doc015,8,operational
doc016,0,operational
doc017,3,institutional
doc018,8,operational
doc019,8,operational
doc020,3,institutional
doc021,3,institutional
doc022,8,operational
doc023,8,operational
doc024,7,operational
doc025,0,operational
doc026,8,operational
doc027,6,operational
doc028,8,operational
doc029,8,operational
doc030,1,technology
doc031,0,operational
doc032,2,technology
doc033,7,operational
doc034,9,institutional
doc035,9,institutional
doc036,9,institutional
doc037,0,operational
doc038,8,operational
doc039,0,operational
doc040,6,operational
doc041,6,operational
doc042,9,institutional
doc043,8,operational
doc044,5,technology
doc045,5,technology
doc046,4,meta
doc047,0,operational
doc048,6,operational
doc049,1,operational
doc050,0,operational
doc051,6,operational
doc052,8,operational
doc053,1,technology
doc054,8,operational
doc055,0,operational
doc056,9,institutional
doc057,4,meta
doc058,7,operational
doc059,1,operational
doc060,6,operational
doc061,9,institutional
doc062,9,institutional
doc063,1,technology
doc064,1,technology
doc065,8,operational
doc066,9,operational
doc067,8,operational
doc068,8,operational
doc069,0,operational
doc070,1,operational
doc071,1,technology
doc072,9,institutional
doc073,8,technology
doc074,2,technology
doc075,0,operational
doc076,0,operational
doc077,8,operational
doc078,6,operational
doc079,6,operational
doc080,8,operational
doc081,5,technology
doc082,2,technology
doc083,6,operational
doc084,8,operational
doc085,1,technology
doc086,8,operational
doc087,5,operational
doc088,6,operational
doc089,8,operational
doc090,7,operational
doc091,3,institutional
doc092,0,operational
doc093,6,operational
doc094,1,technology
doc095,6,operational
doc096,7,operational
doc097,3,institutional
doc098,5,technology
doc099,7,operational
doc100,8,operational
doc101,0,operational
doc102,0,operational
doc103,4,meta
doc104,0,operational
doc105,6,operational
doc106,6,operational
doc107,6,operational
doc108,0,operational
doc109,7,operational
doc110,2,technology
doc111,6,operational
doc112,6,operational
doc113,9,institutional
doc114,5,technology
doc115,9,institutional
doc116,2,technology
doc117,2,technology
doc118,0,operational
doc119,6,operational
doc120,0,operational
doc121,0,operational
doc122,8,operational
doc123,8,operational
doc124,0,operational
doc125,8,operational
