run_id,variant_topic,matched_ref_topic,layer,js_distance,top10_overlap_with_ref,variant_top10,ref_top10
A_k12_s123,0,8,operational,0.545309841632843,0.1,"module, pcs, hour, container_terminal, tos, duration, time_window, terminal_operator, average, truck","pcs, export, shipment, import, send, italy, logistic_chain, freight_forwarder, import_export, layer"
A_k12_s123,1,0,operational,0.50892573595047,0.3,"cluster, governance, barrier, port_call, trend, academic, power, search, attention, information_sharing","port_call, information_sharing, barrier, maritime_transport, berth, arrival, manager, china, digitalization, coordinate"
A_k12_s123,2,10,institutional,0.5061383843421936,0.4,"sustainability, energy, sustainable, smart_port, port_bar, emission, transition, green, fuel, indicator","governance, sustainability, digital_transformation, dimension, ecosystem, energy, sustainable, regional, smart_port, region"
A_k12_s123,3,10,institutional,0.5780665874481201,0.1,"governance, public_private, private, organisation, agreement, dutch, public_sector, netherlands, message, shareholder","governance, sustainability, digital_transformation, dimension, ecosystem, energy, sustainable, regional, smart_port, region"
A_k12_s123,4,3,institutional,0.49381232261657715,0.4,"ict, big_data, publication, topic, maritime_transport, terminal_operator, pcs, success, edi, smart","barrier, terminal_operator, ict, edi, success, power, maturity_model, shipping_line, participant, knowledge_management"
A_k12_s123,5,6,operational,0.42530983686447144,0.6,"msw, nmsw, imo, port_call, nsw, traffic, reporting, agency, ict, maritime_transport","module, nmsw, ict, imo, nsw, traffic, prototype, pass, reporting, enter"
A_k12_s123,6,8,operational,0.5558646321296692,0.2,"layer, prototype, knowledge_management, pcs, hub, space, dimension, test, entity, enterprise","pcs, export, shipment, import, send, italy, logistic_chain, freight_forwarder, import_export, layer"
A_k12_s123,7,11,technology,0.543171226978302,0.4,"taxonomy, business_model, dimension, digital_platform, declaration, tradelen, portbase, safety_security, right, invoice","taxonomy, business_model, dimension, cluster, digital_platform, respective, value_add, marketplace, geographic_scope, iteration"
A_k12_s123,8,5,technology,0.4307875633239746,0.4,"blockchain, export, import, freight_forwarder, blockchain_technology, shipment, block, code, chain, custom_declaration","blockchain, blockchain_technology, block, tradelen, smart_contract, layer, node, chain, bill_lading, trust"
A_k12_s123,9,9,institutional,0.4938032925128937,0.5,"smart_port, service_quality, indicator, variable, evaluation, criterion, construct, index, weight, score","smart_port, indicator, smart_technology, smart, resilience, kpi, evaluation, index, weight, expert"
A_k12_s123,10,10,institutional,0.47855913639068604,0.4,"digital_transformation, dimension, ecosystem, governance, digital_technology, digitalization, maturity, digital_maturity, indonesia, compliance","governance, sustainability, digital_transformation, dimension, ecosystem, energy, sustainable, regional, smart_port, region"
A_k12_s123,11,1,technology,0.47652411460876465,0.4,"resilience, event, smart_technology, smart, optimization, safety, attack, hub, disruption, cybersecurity","event, attack, safety, compliance, cybersecurity, digital_technology, threat, vulnerability, digital_infrastructure, detection"
